#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
52,HCA,Actions,0.3671111235502923,-0.19354247967346805,173801.0,-47.22219691655507,1.3665764213412812,Allégé,82249585.0,0.3671111235502923,0.5606536032237603,0.5685804955379726,0.6284723693363703,0.6873206977550584,0.6475452546695186
53,TSEM,Actions,0.362421887967837,,462725.0,,,Nouveau,81198983.0,0.362421887967837,,,,,
54,STLD,Actions,0.35195632051981696,,438079.0,,,Nouveau,78854220.0,0.35195632051981696,,,0.013792523881430116,0.27507866485372473,0.12311953290912436
55,WFC,Actions,0.3349266257720198,-0.05305757041560477,942580.0,-17.42908702279377,-14.5815448367129,Allégé,75038794.0,0.3349266257720198,0.3879841961876246,0.8324346046096189,1.1468900785109077,1.137905845456162,0.6228867784700107
56,MFC,Actions,0.32394247609649296,-0.01524465044032619,2113648.0,-17.373364539139065,-5.5609458264866625,Allégé,72577845.0,0.32394247609649296,0.33918712653681915,0.3650830845505851,0.4031748759486701,0.46192450822179704,0.27507824211488857
57,ONTO,Actions,0.31889692891692717,0.2652806498344936,348405.0,274.08198763099125,29.906245050995395,Renforcé,71447413.0,0.31889692891692717,0.05361627908243357,0.03240715543760708,0.07760121553805649,0.11917392531295742,0.028782608664945773
58,AMKR,Actions,0.3177445735600191,0.3067825345690412,1580929.0,1976.372161441574,14.057740343906522,Renforcé,71189233.0,0.3177445735600191,0.010962038990977942,,,,0.0619825634239347
59,TEL,Actions,0.31362869480008176,-0.0520924353337095,336174.0,-23.735653957227864,-8.12711636811686,Allégé,70267089.0,0.31362869480008176,0.36572113013379126,0.20628238040310143,0.14751379752182156,0.08135375805423467,0.055516334775640476
60,WDC,Actions,0.30066467471796793,0.25521935528032635,249039.0,244.26657819433498,57.015144457383606,Renforcé,67362559.0,0.30066467471796793,0.045445319437641574,0.02443887853017731,,,
61,UTHR,Actions,0.2942304228391192,0.17945266323998627,111169.0,72.10155584797585,21.699332726142238,Renforcé,65920994.0,0.2942304228391192,0.11477775959913296,0.026381597399198816,0.22615281143708177,0.2771519156815751,0.17427604745187145
62,LLY,Actions,0.29070327724457906,0.003464723422380467,70812.0,-3.383725372482672,-14.414524186481614,Allégé,65130753.0,0.29070327724457906,0.2872385538221986,0.031207238192085332,,0.01052208941659467,0.2985771093736473
63,CSCO,Actions,0.28497871165614436,0.15512338213121538,822892.0,78.01227429169722,0.7269890711754101,Renforcé,63848190.0,0.28497871165614436,0.12985532952492898,0.4788195513554754,0.5244787868093794,0.07209740517428431,0.002765789486480471
64,VALE,Actions,0.28307156755750323,-0.003196033199530657,3986229.0,-33.83299883791128,22.10283871007077,Allégé,63420903.0,0.28307156755750323,0.2862676007570339,0.312238777789229,0.14810365187060728,0.042798275991816806,0.16173909133965872
65,CI,Actions,0.27204525679784375,-0.073680288707003,228493.0,-33.66477767584453,-3.081059120889118,Allégé,60950508.0,0.27204525679784375,0.34572554550484674,0.6810444062907567,0.8222272466331304,0.8260530615284364,0.7336560449569005
66,CAT,Actions,0.2608817149675999,0.1310283765727458,82502.0,32.7316311919816,23.66854483779026,Renforcé,58449367.0,0.2608817149675999,0.12985333839485408,,,,
67,MCK,Actions,0.2602544092753052,0.05859519861461737,67381.0,-0.04746858914452702,5.494397594287448,Inchangé,58308822.0,0.2602544092753052,0.20165921066068782,0.16989255550560295,0.4367675843043443,0.48774374458833714,0.8606058960901365
68,AU,Actions,0.25956122409944105,0.003640495162532953,597304.0,-27.415458350143634,14.165102716132338,Allégé,58153517.0,0.25956122409944105,0.2559207289369081,0.06412486702470084,0.08742787799781696,0.10661608593328237,0.042007156306806306
69,CEG,Actions,0.2571806761020661,0.20186535405706885,206339.0,380.56221906514196,-20.95281200569027,Renforcé,57620166.0,0.2571806761020661,0.05531532204499723,,0.18877746417103303,0.8808815527695345,0.9705362624899813
70,MNST,Actions,0.2492810208081039,0.019042146497474016,770774.0,-6.3989206610586695,-5.491065838192766,Allégé,55850284.0,0.2492810208081039,0.2302388743106299,0.161162662101782,0.009982036956394134,0.02064555526507832,0.06741836071479795
71,CIEN,Actions,0.24925892261547844,0.06790264537991647,143846.0,-32.35328696453681,66.00248262731722,Allégé,55845333.0,0.24925892261547844,0.18135627723556197,0.09227576367541071,0.015732115514407195,,
72,SBSW,Actions,0.243405392135563,0.22959898371820692,4426451.0,1566.0836344474556,-13.543860156439846,Renforcé,54533876.0,0.243405392135563,0.013806408417356083,0.029721916991899928,0.023231593123225185,0.050723007171124414,0.0337327440908316
73,EME,Actions,0.23992841046486002,0.05827183361706331,72808.0,-10.579450271425413,20.680298638343174,Allégé,53754874.0,0.23992841046486002,0.1816565768477967,0.2586513834402422,0.4496562739254502,0.3766975784570628,0.1346067555298948
74,LNG,Actions,0.23604673416168803,0.1851552801192109,186373.0,159.6085805822538,45.97458689123675,Renforcé,52885202.0,0.23604673416168803,0.05089145404247712,0.03701478971245221,0.008211723659352299,0.008975080156017641,0.008235789608632261
75,VST,Actions,0.23384587736546641,0.05155194196873997,348514.0,12.478658959686815,-6.818321699876706,Renforcé,52392110.0,0.23384587736546641,0.18229393539672645,0.25966558852793836,0.6391723155258864,0.8860787513624622,1.1210473437387032
76,NXPI,Actions,0.23089627524355183,-0.05611424677720844,262782.0,-27.525607717893134,-9.306181596416685,Allégé,51731265.0,0.23089627524355183,0.2870105220207603,0.46739568780666046,0.1456352464458943,0.0370937695232063,0.0014303889965000078
77,BAC,Actions,0.2269237066772763,0.024267454041980524,1042897.0,3.2169660716176773,-11.363635927787508,Renforcé,50841229.0,0.2269237066772763,0.20265625263529577,0.11541286688700308,,,
78,INSM,Actions,0.21572887655571651,,295579.0,,,Nouveau,48333078.0,0.21572887655571651,,,,,
79,TPR,Actions,0.2017620912855178,0.05152795023387133,320345.0,-0.6460357040951779,10.440634459543151,Allégé,45203883.0,0.2017620912855178,0.15023414105164648,0.11118701039627707,0.2265153680636503,0.28109584400330906,0.2598063707609537
