date,ticker,action,status,price,amount_usd,shares
2022-12-31,TSM,position 13F (trimestre),exécuté,477.57000732421875,2271235559.522644,4755817
2022-12-31,USB,position 13F (trimestre),exécuté,60.400001525878906,367265833.27819824,6080560
2022-12-31,UPS,position 13F (trimestre),exécuté,107.5,6385500.0,59400
2022-12-31,VOO,position 13F (trimestre),exécuté,686.8099975585938,29532829.89501953,43000
2022-12-31,VRSN,position 13F (trimestre),exécuté,251.55999755859375,1988702781.0595093,7905481
2022-12-31,V,position 13F (trimestre),exécuté,343.0899963378906,2846775521.013794,8297460
2022-12-31,AON,position 13F (trimestre),exécuté,331.69000244140625,581185232.1378174,1752194
2022-12-31,NU,position 13F (trimestre),exécuté,13.359999656677246,1431106917.463684,107118784
2022-12-31,STNE,position 13F (trimestre),exécuté,10.84000015258789,115938657.95199585,10695448
2022-12-31,LILA,position 13F (trimestre),exécuté,7.840000152587891,12741450.647983551,1625185
2022-12-31,LILAK,position 13F (trimestre),exécuté,7.789999961853027,10002515.751018524,1284020
2023-03-31,ALLY,position 13F (trimestre),exécuté,45.95000076293945,58586250.9727478,1275000
2023-03-31,AMZN,position 13F (trimestre),exécuté,238.33999633789062,542461831.6650391,2276000
2023-03-31,AXP,position 13F (trimestre),exécuté,337.32659912109375,472160426.0355835,1399713
2023-03-31,AAPL,position 13F (trimestre),exécuté,289.3599853515625,5909948238.33728,20424207
2023-03-31,BAC,position 13F (trimestre),exécuté,56.97999954223633,1296374761.5852356,22751400
2023-03-31,COF,position 13F (trimestre),exécuté,200.6199951171875,85263497.92480469,425000
2023-03-31,CE,position 13F (trimestre),exécuté,45.96891784667969,209501780.1430359,4557466
2023-03-31,CHTR,position 13F (trimestre),exécuté,142.2100067138672,544513725.3170013,3828941
2023-03-31,CVX,position 13F (trimestre),exécuté,165.75999450683594,346769908.5083008,2092000
2023-03-31,C,position 13F (trimestre),exécuté,139.9600067138672,12456440.59753418,89000
2023-03-31,KO,position 13F (trimestre),exécuté,81.2699966430664,78019196.77734375,960000
2023-03-31,DVA,position 13F (trimestre),exécuté,222.47999572753906,4118879396.2618713,18513482
2023-03-31,DEO,position 13F (trimestre),exécuté,80.37999725341797,18306544.374465942,227750
2023-03-31,FND,position 13F (trimestre),exécuté,59.36000061035156,27786416.285705566,468100
2023-03-31,GM,position 13F (trimestre),exécuté,77.08000183105469,547271712.8405762,7100048
2023-03-31,GL,position 13F (trimestre),exécuté,178.35330200195312,626840693.5693665,3514601
2023-03-31,HPQ,position 13F (trimestre),exécuté,21.940000534057617,361500627.81955147,16476783
2023-03-31,JNJ,position 13F (trimestre),exécuté,253.97000122070312,83073587.39929199,327100
2023-03-31,KHC,position 13F (trimestre),exécuté,23.6200008392334,7691494674.443615,325634818
2023-03-31,KR,position 13F (trimestre),exécuté,55.529998779296875,1513595614.5269775,27257260
2023-03-31,LPX,position 13F (trimestre),exécuté,78.66000366210938,341770557.851532,4344909
2023-03-31,MKL,position 13F (trimestre),exécuté,1953.010009765625,7909690.539550781,4050
2023-03-31,MRSH,position 13F (trimestre),exécuté,165.732421875,67106880.673828125,404911
2023-03-31,MA,position 13F (trimestre),exécuté,512.740478515625,2044115803.1933594,3986648
2023-03-31,MCK,position 13F (trimestre),exécuté,755.5999755859375,56654886.169433594,74980
2023-03-31,MDLZ,position 13F (trimestre),exécuté,57.84000015258789,33431520.0881958,578000
2023-03-31,MCO,position 13F (trimestre),exécuté,452.9200134277344,5717549019.508362,12623750
2023-03-31,OXY,position 13F (trimestre),exécuté,48.56999969482422,10282614705.222115,211707119
2023-03-31,PG,position 13F (trimestre),exécuté,145.55343627929688,45907553.802490234,315400
2023-03-31,SPY,position 13F (trimestre),exécuté,746.77001953125,29422738.76953125,39400
2023-03-31,SNOW,position 13F (trimestre),exécuté,254.5,1558908192.0,6125376
2023-03-31,TMUS,position 13F (trimestre),exécuté,167.72999572753906,783634540.0390625,4672000
2023-03-31,UPS,position 13F (trimestre),exécuté,107.5,6385500.0,59400
2023-03-31,VOO,position 13F (trimestre),exécuté,686.8099975585938,29532829.89501953,43000
2023-03-31,VRSN,position 13F (trimestre),exécuté,251.55999755859375,1988702781.0595093,7905481
2023-03-31,V,position 13F (trimestre),exécuté,343.0899963378906,2846775521.013794,8297460
2023-03-31,VTS,position 13F (trimestre),exécuté,15.770000457763672,804680.0433578491,51026
2023-03-31,AON,position 13F (trimestre),exécuté,331.69000244140625,581185232.1378174,1752194
2023-03-31,NU,position 13F (trimestre),exécuté,13.359999656677246,1431106917.463684,107118784
2023-03-31,STNE,position 13F (trimestre),exécuté,10.84000015258789,115938657.95199585,10695448
2023-03-31,LILA,position 13F (trimestre),exécuté,7.840000152587891,12741450.647983551,1625185
2023-03-31,LILAK,position 13F (trimestre),exécuté,7.789999961853027,10002515.751018524,1284020
2023-06-30,ALLY,position 13F (trimestre),exécuté,45.95000076293945,58586250.9727478,1275000
2023-06-30,AMZN,position 13F (trimestre),exécuté,238.33999633789062,542461831.6650391,2276000
2023-06-30,AXP,position 13F (trimestre),exécuté,337.32659912109375,472160426.0355835,1399713
2023-06-30,AAPL,position 13F (trimestre),exécuté,289.3599853515625,5909948238.33728,20424207
2023-06-30,BAC,position 13F (trimestre),exécuté,56.97999954223633,1296374761.5852356,22751400
2023-06-30,COF,position 13F (trimestre),exécuté,200.6199951171875,85263497.92480469,425000
2023-06-30,CE,position 13F (trimestre),exécuté,45.96891784667969,158484417.8316803,3447643
2023-06-30,CHTR,position 13F (trimestre),exécuté,142.2100067138672,544513725.3170013,3828941
2023-06-30,CVX,position 13F (trimestre),exécuté,165.75999450683594,346769908.5083008,2092000
2023-06-30,C,position 13F (trimestre),exécuté,139.9600067138672,12456440.59753418,89000
2023-06-30,KO,position 13F (trimestre),exécuté,81.2699966430664,78019196.77734375,960000
2023-06-30,DHI,position 13F (trimestre),exécuté,162.8800048828125,963421872.7214355,5914918
2023-06-30,DVA,position 13F (trimestre),exécuté,222.47999572753906,4118879396.2618713,18513482
2023-06-30,DEO,position 13F (trimestre),exécuté,80.37999725341797,18306544.374465942,227750
2023-06-30,FND,position 13F (trimestre),exécuté,59.36000061035156,27786416.285705566,468100
2023-06-30,GM,position 13F (trimestre),exécuté,77.08000183105469,1480321435.1654053,19205000
2023-06-30,GL,position 13F (trimestre),exécuté,178.35330200195312,237066673.9610901,1329197
2023-06-30,HPQ,position 13F (trimestre),exécuté,21.940000534057617,361500627.81955147,16476783
2023-06-30,JNJ,position 13F (trimestre),exécuté,253.97000122070312,83073587.39929199,327100
2023-06-30,KHC,position 13F (trimestre),exécuté,23.6200008392334,7691494674.443615,325634818
2023-06-30,KR,position 13F (trimestre),exécuté,55.529998779296875,1513595614.5269775,27257260
2023-06-30,LENB,position 13F (trimestre),exécuté,,,152572
2023-06-30,LPX,position 13F (trimestre),exécuté,78.66000366210938,341770557.851532,4344909
2023-06-30,MKL,position 13F (trimestre),exécuté,1953.010009765625,7909690.539550781,4050
2023-06-30,MA,position 13F (trimestre),exécuté,512.740478515625,2044115803.1933594,3986648
2023-06-30,MDLZ,position 13F (trimestre),exécuté,57.84000015258789,33431520.0881958,578000
2023-06-30,MCO,position 13F (trimestre),exécuté,452.9200134277344,5717549019.508362,12623750
2023-06-30,OXY,position 13F (trimestre),exécuté,48.56999969482422,10885954787.041199,224129192
2023-06-30,PG,position 13F (trimestre),exécuté,145.55343627929688,45907553.802490234,315400
2023-06-30,SPY,position 13F (trimestre),exécuté,746.77001953125,29422738.76953125,39400
2023-06-30,SNOW,position 13F (trimestre),exécuté,254.5,1558908192.0,6125376
2023-06-30,TMUS,position 13F (trimestre),exécuté,167.72999572753906,783634540.0390625,4672000
2023-06-30,UPS,position 13F (trimestre),exécuté,107.5,6385500.0,59400
2023-06-30,VOO,position 13F (trimestre),exécuté,686.8099975585938,29532829.89501953,43000
2023-06-30,VRSN,position 13F (trimestre),exécuté,251.55999755859375,1988702781.0595093,7905481
2023-06-30,V,position 13F (trimestre),exécuté,343.0899963378906,2846775521.013794,8297460
2023-06-30,AON,position 13F (trimestre),exécuté,331.69000244140625,581185232.1378174,1752194
2023-06-30,NU,position 13F (trimestre),exécuté,13.359999656677246,1431106917.463684,107118784
2023-06-30,STNE,position 13F (trimestre),exécuté,10.84000015258789,115938657.95199585,10695448
2023-06-30,LILA,position 13F (trimestre),exécuté,7.840000152587891,12741450.647983551,1625185
2023-06-30,LILAK,position 13F (trimestre),exécuté,7.789999961853027,10002515.751018524,1284020
2023-09-30,ALLY,position 13F (trimestre),exécuté,45.95000076293945,58586250.9727478,1275000
2023-09-30,AMZN,position 13F (trimestre),exécuté,238.33999633789062,542461831.6650391,2276000
